ID,Warehouse Block,Shipment Mode,Customer Care Calls,Customer Rating,Product Cost,Previous Orders,Product Priority,Gender,Discount Offered,Shipment Weight (g),Delivery Status,
80,F,Ship,3,5,257,2,medium,female,56.0%,3711,On Time,
81,A,Ship,3,4,180,2,medium,female,49.0%,1942,On Time,
82,B,Ship,2,5,132,3,low,male,18.0%,1759,On Time,
83,C,Ship,4,4,217,3,high,female,26.0%,2875,On Time,
84,F,Ship,5,5,162,3,high,female,31.0%,1364,On Time,
85,D,Ship,4,5,197,2,medium,female,40.0%,2710,On Time,
86,F,Ship,3,4,197,3,medium,male,13.0%,2148,On Time,
87,A,Ship,4,1,185,2,low,male,44.0%,2910,On Time,
88,B,Ship,6,2,278,3,medium,female,3.0%,2974,On Time,
89,C,Ship,3,3,229,3,low,male,49.0%,2339,On Time,
90,F,Ship,4,1,186,4,medium,female,57.0%,3880,On Time,
91,D,Ship,5,3,174,6,high,female,41.0%,1085,On Time,
92,F,Ship,5,5,286,3,low,female,18.0%,3163,On Time,
93,A,Ship,4,4,175,2,medium,female,7.0%,1188,On Time,
94,B,Ship,3,3,219,3,medium,female,17.0%,3387,On Time,
95,C,Ship,4,1,213,4,high,female,35.0%,2343,On Time,
96,F,Ship,2,3,235,3,low,male,57.0%,2034,On Time,
97,D,Ship,3,3,149,2,medium,male,18.0%,1225,On Time,
98,F,Ship,4,1,271,2,medium,female,8.0%,2401,On Time,
99,A,Ship,3,5,144,4,medium,male,5.0%,1104,On Time,
100,B,Ship,4,2,145,2,medium,male,21.0%,1617,On Time,
101,C,Ship,5,3,143,2,medium,male,59.0%,1837,On Time,
102,F,Ship,5,5,227,4,low,male,53.0%,2624,On Time,
103,D,Ship,2,1,213,3,low,male,29.0%,2732,On Time,
104,F,Ship,5,1,144,4,low,male,37.0%,1658,On Time,
105,A,Ship,3,3,218,3,low,male,3.0%,2255,On Time,
106,B,Ship,4,2,144,3,medium,male,59.0%,1588,On Time,
107,C,Ship,3,1,238,3,low,male,17.0%,2624,On Time,
108,F,Ship,4,5,216,3,high,male,26.0%,2053,On Time,
109,D,Ship,4,5,238,3,high,female,55.0%,3257,On Time,
110,F,Ship,4,1,141,3,medium,male,47.0%,1250,On Time,
111,A,Road,3,1,158,2,low,male,2.0%,1284,On Time,
112,B,Road,4,2,239,3,low,female,65.0%,3679,On Time,
113,C,Road,4,3,175,2,low,male,25.0%,1816,On Time,
114,F,Road,3,2,263,3,low,male,41.0%,2817,On Time,
115,D,Road,3,5,168,2,high,male,50.0%,1616,On Time,
116,F,Road,3,4,176,3,high,male,36.0%,1779,On Time,
117,A,Road,4,1,150,4,high,male,60.0%,1024,On Time,
118,B,Road,4,3,265,2,medium,female,31.0%,2326,On Time,
119,C,Road,2,5,263,3,low,female,5.0%,2947,On Time,
120,F,Road,5,1,145,3,low,male,20.0%,1387,On Time,
121,D,Road,4,2,183,3,low,female,33.0%,2741,On Time,
122,F,Road,3,3,205,3,medium,female,19.0%,2167,On Time,
123,A,Road,4,2,160,3,low,male,64.0%,1714,On Time,
124,B,Road,3,3,252,2,medium,female,48.0%,2102,On Time,
125,C,Road,5,5,222,3,low,male,10.0%,2280,On Time,
126,F,Road,3,3,203,2,low,male,25.0%,3607,On Time,
127,D,Road,4,5,220,3,medium,male,40.0%,3516,On Time,
128,F,Road,3,3,147,4,low,female,60.0%,1722,On Time,
129,A,Road,4,4,200,4,medium,male,16.0%,2060,On Time,
130,B,Road,4,5,224,4,medium,male,21.0%,2026,On Time,
131,C,Road,3,5,179,2,low,female,17.0%,1364,On Time,
132,F,Road,3,4,144,3,low,male,50.0%,1865,On Time,
133,D,Flight,5,2,247,3,low,male,17.0%,3889,On Time,
134,F,Flight,5,4,280,6,medium,female,51.0%,3582,On Time,
135,A,Flight,3,3,168,2,medium,female,1.0%,1829,On Time,
136,B,Flight,3,5,157,3,medium,female,4.0%,1889,On Time,
137,C,Flight,3,3,189,4,medium,female,51.0%,2208,On Time,
138,F,Flight,3,5,162,2,medium,male,7.0%,1739,On Time,
139,D,Flight,4,1,207,5,low,male,48.0%,2399,On Time,
140,F,Flight,5,1,237,2,low,female,10.0%,3860,On Time,
141,A,Flight,4,4,264,3,high,male,59.0%,2020,On Time,
142,B,Flight,5,4,149,3,low,male,51.0%,1645,On Time,
143,C,Flight,5,5,162,3,low,male,41.0%,1462,On Time,
144,F,Flight,2,1,205,4,medium,female,63.0%,2156,On Time,
145,D,Flight,2,1,158,3,medium,female,51.0%,1540,On Time,
146,F,Flight,2,2,248,2,low,male,46.0%,3707,On Time,
147,A,Flight,3,5,191,3,low,male,23.0%,3750,On Time,
148,B,Flight,4,3,146,4,medium,female,24.0%,1844,On Time,
149,C,Flight,3,3,135,3,low,male,56.0%,1490,On Time,
150,F,Flight,5,1,149,3,low,male,40.0%,1062,On Time,
151,D,Flight,4,4,220,2,medium,female,7.0%,2551,On Time,
152,F,Flight,5,3,98,5,medium,male,44.0%,1269,On Time,
153,A,Flight,3,4,97,4,low,male,32.0%,1238,On Time,
154,B,Flight,3,3,183,2,low,male,53.0%,3932,On Time,
155,C,Ship,3,3,162,3,medium,female,8.0%,1869,On Time,
156,F,Ship,5,1,114,4,low,female,47.0%,1443,On Time,
157,D,Ship,6,3,275,5,low,male,41.0%,2491,On Time,
158,F,Ship,3,2,203,2,medium,female,39.0%,3845,On Time,
159,A,Ship,5,5,205,2,high,male,65.0%,3671,On Time,
160,B,Ship,3,3,149,3,low,female,63.0%,1946,On Time,
161,C,Ship,2,2,112,4,medium,male,56.0%,1138,On Time,
162,F,Ship,3,1,207,3,medium,female,56.0%,3482,On Time,
163,D,Ship,4,1,261,4,low,female,58.0%,3427,On Time,
164,F,Ship,5,2,274,3,medium,male,6.0%,3375,On Time,
165,A,Ship,3,5,141,2,low,male,52.0%,1692,On Time,
166,B,Ship,3,3,166,4,medium,female,17.0%,1498,On Time,
167,C,Ship,5,2,141,3,high,female,34.0%,1020,On Time,
168,F,Ship,4,5,152,3,low,male,43.0%,1709,On Time,
169,D,Ship,4,2,250,3,low,female,53.0%,2478,On Time,
170,F,Ship,4,3,161,3,medium,female,28.0%,1809,On Time,
171,A,Ship,4,3,185,3,medium,female,10.0%,2263,On Time,
172,B,Ship,4,4,176,4,high,female,52.0%,1096,On Time,
173,C,Ship,3,4,148,3,low,male,56.0%,1550,On Time,
174,F,Ship,3,2,270,3,low,female,63.0%,2751,On Time,
175,D,Ship,3,3,242,3,low,female,51.0%,3935,On Time,
176,F,Ship,4,4,150,2,medium,male,3.0%,1285,On Time,
177,A,Ship,4,5,192,3,high,male,20.0%,3872,On Time,
178,B,Ship,4,5,116,3,medium,male,54.0%,1314,On Time,
179,C,Ship,3,3,192,3,medium,female,2.0%,3995,On Time,
180,F,Ship,5,5,255,4,medium,male,3.0%,3440,On Time,
181,D,Ship,4,1,161,7,medium,female,18.0%,1294,On Time,
182,F,Ship,4,5,157,3,low,male,20.0%,1487,On Time,
183,A,Ship,3,2,164,10,high,female,28.0%,1940,On Time,
184,B,Ship,3,5,162,7,medium,female,16.0%,1052,On Time,
185,C,Ship,3,3,146,2,low,male,50.0%,1486,On Time,
186,F,Ship,3,2,209,3,medium,male,54.0%,3001,On Time,
187,D,Ship,5,4,134,2,medium,female,55.0%,1386,On Time,
188,F,Ship,2,1,222,2,medium,male,5.0%,3778,On Time,
189,A,Ship,2,5,139,3,low,female,27.0%,1233,On Time,
190,B,Ship,2,4,134,3,low,female,42.0%,1415,On Time,
191,C,Ship,2,5,130,3,low,male,16.0%,1092,On Time,
192,F,Ship,2,5,133,3,low,female,62.0%,1596,On Time,
193,D,Ship,2,4,140,3,low,female,7.0%,1411,On Time,
194,F,Ship,2,2,158,3,low,male,28.0%,1968,On Time,
195,A,Ship,4,2,270,4,low,female,46.0%,1736,On Time,
196,B,Ship,2,5,140,3,low,female,30.0%,1030,On Time,
197,C,Ship,2,2,135,3,low,male,15.0%,1339,On Time,
198,F,Ship,2,3,136,3,low,female,19.0%,1568,On Time,
199,D,Ship,2,3,142,3,medium,female,38.0%,7640,On Time,
200,F,Ship,2,2,154,3,medium,male,38.0%,7846,On Time,
201,A,Ship,2,3,139,3,low,male,9.0%,1471,On Time,
202,B,Ship,2,3,160,3,low,female,43.0%,1251,On Time,
203,C,Ship,2,4,134,3,low,male,58.0%,1067,On Time,
204,F,Ship,5,3,161,5,high,male,48.0%,1883,On Time,
205,D,Ship,2,5,155,3,low,male,23.0%,1602,On Time,
206,F,Ship,2,3,145,3,medium,female,24.0%,7588,On Time,
207,A,Ship,2,2,157,3,low,male,1.0%,1477,On Time,
208,B,Ship,2,2,160,3,low,male,48.0%,1691,On Time,
209,C,Ship,2,4,152,3,low,male,55.0%,1498,On Time,
210,F,Ship,2,5,148,3,high,female,11.0%,1502,On Time,
211,D,Ship,2,1,127,3,low,female,15.0%,1522,On Time,
212,F,Ship,2,5,154,3,low,female,21.0%,1113,On Time,
213,A,Ship,2,5,127,3,low,male,44.0%,1341,On Time,
214,B,Ship,2,5,160,3,medium,female,31.0%,7401,On Time,
215,C,Ship,2,4,129,3,low,female,48.0%,1219,On Time,
216,F,Ship,2,5,158,3,low,female,40.0%,1722,On Time,
217,D,Ship,4,3,185,3,medium,male,3.0%,3131,On Time,
218,F,Ship,4,4,176,4,high,female,63.0%,1293,On Time,
219,A,Ship,3,4,148,3,low,male,37.0%,1523,On Time,
220,B,Ship,3,5,270,3,low,male,60.0%,3885,On Time,
221,C,Ship,3,4,242,3,low,male,29.0%,2381,On Time,
222,F,Ship,4,3,150,2,medium,male,31.0%,1588,On Time,
223,D,Ship,4,2,192,3,high,male,4.0%,2061,On Time,
224,F,Ship,4,5,116,3,medium,female,9.0%,1314,On Time,
225,A,Ship,3,4,192,3,medium,female,31.0%,3331,On Time,
226,B,Ship,5,4,255,4,medium,female,38.0%,2771,On Time,
227,C,Ship,4,3,161,7,medium,male,63.0%,1496,On Time,
228,F,Ship,4,2,157,3,low,female,48.0%,1393,On Time,
229,D,Ship,3,2,164,10,high,male,14.0%,1375,On Time,
230,F,Ship,3,3,162,7,medium,female,42.0%,1278,On Time,
231,A,Ship,3,1,146,2,low,female,54.0%,1528,On Time,
232,B,Ship,3,4,209,3,medium,female,60.0%,2240,On Time,
233,C,Ship,5,5,134,2,medium,male,53.0%,1088,On Time,
234,F,Ship,2,1,222,2,medium,male,58.0%,3626,On Time,
235,D,Ship,2,1,139,3,low,female,39.0%,1582,On Time,
236,F,Ship,2,2,134,3,low,male,38.0%,1352,On Time,
237,A,Ship,2,3,130,3,low,female,48.0%,1801,On Time,
238,B,Ship,2,2,133,3,low,male,5.0%,1268,On Time,
239,C,Ship,2,3,140,3,low,female,23.0%,1372,On Time,
240,F,Ship,2,3,158,3,low,male,10.0%,1515,On Time,
241,D,Ship,4,5,270,4,low,male,65.0%,1818,On Time,
242,F,Ship,2,4,140,3,low,female,33.0%,1278,On Time,
243,A,Ship,2,2,135,3,low,male,58.0%,1734,On Time,
244,B,Ship,2,4,136,3,low,male,43.0%,1958,On Time,
245,C,Ship,2,1,142,3,medium,female,8.0%,6064,On Time,
246,F,Ship,2,4,154,3,medium,female,48.0%,7684,On Time,
247,D,Ship,2,3,139,3,low,female,3.0%,1788,On Time,
248,F,Road,2,4,160,3,low,female,50.0%,1030,On Time,
249,A,Road,2,2,134,3,low,female,38.0%,1530,On Time,
250,B,Road,5,5,161,5,high,female,54.0%,1511,On Time,
251,C,Road,2,3,155,3,low,female,45.0%,1639,On Time,
252,F,Road,2,2,145,3,medium,female,5.0%,6102,On Time,
253,D,Road,2,1,157,3,low,male,58.0%,1930,On Time,
254,F,Road,2,5,160,3,low,female,19.0%,1399,On Time,
255,A,Road,2,2,152,3,low,female,61.0%,1800,On Time,
256,B,Road,2,2,148,3,high,female,35.0%,1349,On Time,
257,C,Road,2,2,127,3,low,male,13.0%,1128,On Time,
258,F,Road,2,2,129,3,medium,female,22.0%,6614,On Time,
259,D,Road,2,3,158,3,low,female,13.0%,1245,On Time,
260,F,Road,2,4,147,3,low,male,5.0%,1920,On Time,
261,A,Road,2,5,159,3,low,female,49.0%,1621,On Time,
262,B,Road,2,3,151,3,low,female,23.0%,1930,On Time,
263,C,Road,3,1,294,4,low,female,52.0%,1089,On Time,
264,F,Road,3,2,226,2,medium,male,45.0%,1446,On Time,
265,D,Road,5,3,271,5,high,male,9.0%,1813,On Time,
266,F,Road,7,2,203,5,medium,female,61.0%,1856,On Time,
267,A,Road,2,3,264,4,low,female,10.0%,1648,On Time,
268,B,Road,4,1,258,3,medium,male,36.0%,2211,On Time,
269,C,Road,3,5,241,3,low,female,21.0%,3078,On Time,
270,F,Flight,4,5,208,3,medium,male,23.0%,2056,On Time,
271,D,Flight,3,2,209,5,medium,female,12.0%,3054,On Time,
272,F,Flight,5,1,182,2,medium,female,23.0%,2707,On Time,
273,A,Flight,4,5,148,2,medium,female,43.0%,1087,On Time,
274,B,Flight,2,3,183,2,medium,female,52.0%,3199,On Time,
275,C,Flight,3,5,229,6,medium,male,22.0%,2717,On Time,
276,F,Flight,5,5,115,5,low,female,26.0%,1692,On Time,
277,D,Flight,4,2,136,3,low,female,65.0%,1962,On Time,
278,F,Flight,4,4,212,3,low,male,21.0%,3307,On Time,
279,A,Flight,4,3,171,3,low,female,24.0%,1304,On Time,
280,B,Flight,3,1,151,2,low,male,60.0%,1925,On Time,
281,C,Flight,3,1,205,3,medium,male,39.0%,3062,On Time,
282,F,Flight,5,4,147,3,medium,male,23.0%,1132,On Time,
283,D,Flight,3,3,155,3,low,female,29.0%,1712,On Time,
284,F,Flight,5,4,165,3,low,female,20.0%,1150,On Time,
285,A,Flight,5,5,230,3,low,female,32.0%,3249,On Time,
286,B,Flight,2,4,181,4,medium,male,13.0%,2309,On Time,
287,C,Flight,5,3,234,2,low,female,55.0%,3308,On Time,
288,F,Flight,4,4,149,3,low,male,34.0%,1977,On Time,
289,D,Flight,5,5,156,2,low,male,44.0%,1561,On Time,
290,F,Flight,4,2,172,3,medium,female,59.0%,1858,On Time,
291,A,Flight,4,4,270,3,low,male,12.0%,3279,On Time,
292,B,Ship,4,1,206,3,medium,male,23.0%,3807,On Time,
293,C,Ship,4,3,211,4,medium,male,40.0%,3106,On Time,
294,F,Ship,3,2,136,4,low,male,62.0%,1090,On Time,
295,D,Ship,5,1,186,2,high,female,52.0%,3981,On Time,
296,F,Ship,3,1,202,2,medium,male,62.0%,3398,On Time,
297,A,Ship,4,2,183,3,medium,female,12.0%,3646,On Time,
298,B,Ship,4,4,232,2,low,male,36.0%,2861,On Time,
299,C,Ship,4,2,147,4,medium,male,52.0%,1129,On Time,
300,F,Ship,4,3,136,3,medium,male,20.0%,1531,On Time,
301,D,Ship,5,3,127,3,low,female,43.0%,1446,On Time,
302,F,Ship,4,5,202,2,medium,male,35.0%,3695,On Time,
303,A,Ship,3,4,241,2,low,male,57.0%,3671,On Time,
304,B,Ship,4,3,222,2,medium,male,55.0%,3833,On Time,
305,C,Ship,3,2,183,4,medium,female,12.0%,2777,On Time,
306,F,Ship,4,4,249,3,medium,female,36.0%,3769,On Time,
307,D,Ship,3,1,243,4,high,male,59.0%,3838,On Time,
308,F,Ship,3,3,163,3,medium,male,9.0%,1257,On Time,
309,A,Ship,4,2,165,2,high,male,11.0%,1596,On Time,
310,B,Ship,5,5,266,3,medium,female,53.0%,3089,On Time,
311,C,Ship,3,4,193,2,medium,male,48.0%,3909,On Time,
312,F,Ship,3,2,154,3,low,female,56.0%,1136,On Time,
313,D,Ship,3,3,140,3,medium,male,51.0%,1046,On Time,
314,F,Ship,4,3,272,3,medium,male,38.0%,3705,On Time,
315,A,Ship,4,2,143,6,medium,male,20.0%,1654,On Time,
316,B,Ship,4,2,138,3,low,female,30.0%,1805,On Time,
317,C,Ship,4,2,238,2,high,male,17.0%,3358,On Time,
318,F,Ship,4,5,273,4,medium,female,31.0%,2373,On Time,
319,D,Ship,3,1,200,2,medium,male,27.0%,2551,On Time,
320,F,Ship,4,5,213,4,low,male,39.0%,2381,On Time,
321,A,Ship,3,4,224,2,medium,female,15.0%,2701,On Time,
322,B,Ship,4,5,141,3,medium,male,12.0%,1672,On Time,
323,C,Ship,3,3,150,3,low,male,46.0%,1040,On Time,
324,F,Ship,3,1,192,2,low,male,33.0%,2818,On Time,
325,D,Ship,5,1,279,4,medium,female,24.0%,3440,On Time,
326,F,Ship,3,4,246,3,medium,male,30.0%,3748,On Time,
327,A,Ship,3,4,173,3,medium,male,52.0%,1587,On Time,
328,B,Ship,4,4,233,4,medium,female,59.0%,2358,On Time,
329,C,Ship,5,1,274,2,medium,male,24.0%,2423,On Time,
330,F,Ship,4,5,243,4,medium,female,41.0%,2782,On Time,
331,D,Ship,3,4,197,3,medium,female,56.0%,3427,On Time,
332,F,Ship,4,3,140,3,high,female,46.0%,1072,On Time,
333,A,Ship,3,5,215,3,medium,female,22.0%,2585,On Time,
334,B,Ship,3,4,211,3,medium,male,8.0%,3710,On Time,
335,C,Ship,4,2,220,5,low,male,33.0%,2854,On Time,
336,F,Ship,3,1,194,4,low,male,64.0%,2026,On Time,
337,D,Ship,5,1,262,3,medium,female,58.0%,3599,On Time,
338,F,Ship,4,4,201,2,low,female,1.0%,3147,On Time,
339,A,Ship,3,5,261,3,medium,male,15.0%,2989,On Time,
340,B,Ship,4,4,191,6,low,female,60.0%,3425,On Time,
341,C,Ship,2,5,255,5,medium,female,53.0%,3775,On Time,
342,F,Ship,3,2,169,2,high,male,30.0%,1698,On Time,
343,D,Ship,4,5,162,2,medium,male,64.0%,1918,On Time,
344,F,Ship,2,5,248,6,low,female,62.0%,2750,On Time,
345,A,Ship,5,3,197,4,low,female,2.0%,2222,On Time,
346,B,Ship,5,1,264,3,low,male,6.0%,2882,On Time,
347,C,Ship,5,5,260,2,medium,female,55.0%,2791,On Time,
348,F,Ship,5,3,186,2,medium,female,58.0%,2259,On Time,
349,D,Ship,4,5,233,4,low,female,44.0%,2551,On Time,
350,F,Ship,5,1,161,3,low,male,47.0%,1954,On Time,
351,A,Ship,4,5,188,3,low,female,13.0%,2409,On Time,
352,B,Ship,5,5,171,2,medium,female,22.0%,1695,On Time,
353,C,Ship,2,2,267,3,medium,male,15.0%,2481,On Time,
354,F,Ship,4,3,255,2,high,male,47.0%,2956,On Time,
355,D,Ship,3,2,132,3,low,female,56.0%,1303,On Time,
356,F,Ship,5,1,266,3,low,female,31.0%,3157,On Time,
357,A,Ship,3,4,198,2,low,male,25.0%,2774,On Time,
358,B,Ship,2,3,247,2,medium,female,62.0%,3127,On Time,
359,C,Ship,3,1,140,3,medium,female,65.0%,1291,On Time,
360,F,Ship,4,3,131,5,low,male,6.0%,1659,On Time,
361,D,Ship,5,2,246,3,medium,male,49.0%,3236,On Time,
362,F,Ship,3,2,159,3,medium,female,4.0%,1681,On Time,
363,A,Ship,3,5,203,2,medium,male,61.0%,3642,On Time,
364,B,Ship,4,3,187,4,high,female,29.0%,3141,On Time,
365,C,Ship,6,2,146,3,low,female,62.0%,1936,On Time,
366,F,Ship,3,2,234,3,medium,male,39.0%,2099,On Time,
367,D,Ship,3,4,122,3,high,female,15.0%,1354,On Time,
368,F,Ship,3,3,135,3,low,male,8.0%,1074,On Time,
369,A,Ship,3,5,103,3,low,male,3.0%,1403,On Time,
370,B,Ship,3,5,257,3,medium,female,19.0%,2173,On Time,
371,C,Ship,4,3,169,2,low,male,2.0%,1399,On Time,
372,F,Ship,4,5,159,3,medium,male,18.0%,1808,On Time,
373,D,Ship,4,5,188,3,low,male,38.0%,3031,On Time,
374,F,Ship,5,1,136,3,medium,male,19.0%,1420,On Time,
375,A,Ship,5,1,227,3,low,female,19.0%,3007,On Time,
376,B,Ship,3,5,262,2,low,female,53.0%,3275,On Time,
377,C,Ship,2,3,157,2,low,male,45.0%,1965,On Time,
378,F,Ship,5,3,238,2,medium,female,21.0%,2053,On Time,
379,D,Ship,3,5,152,3,low,male,43.0%,1282,On Time,
380,F,Ship,3,2,201,3,medium,male,5.0%,2040,On Time,
381,A,Ship,3,4,148,2,low,male,54.0%,1778,On Time,
382,B,Ship,5,2,199,4,low,female,59.0%,2885,On Time,
383,C,Ship,5,4,215,2,low,female,45.0%,3501,On Time,
384,F,Ship,4,5,175,2,low,male,40.0%,1270,On Time,
385,D,Road,4,3,236,2,high,male,23.0%,3123,On Time,
386,F,Road,2,5,182,2,medium,female,57.0%,2896,On Time,
387,A,Road,3,1,251,3,medium,male,42.0%,3698,On Time,
388,B,Road,5,2,173,3,low,female,7.0%,1855,On Time,
389,C,Road,4,3,225,3,low,female,62.0%,2587,On Time,
390,F,Road,4,2,167,4,low,female,20.0%,1705,On Time,
391,D,Road,4,1,259,3,low,male,20.0%,2154,On Time,
392,F,Road,4,1,178,3,medium,female,63.0%,1573,On Time,
393,A,Road,4,4,178,4,medium,female,13.0%,1614,On Time,
394,B,Road,5,4,169,2,low,female,20.0%,1765,On Time,
395,C,Road,3,2,272,2,low,male,33.0%,2321,On Time,
396,F,Road,4,4,183,3,low,male,29.0%,3251,On Time,
397,D,Road,3,4,205,3,low,female,10.0%,2728,On Time,
398,F,Road,2,1,123,4,low,female,53.0%,1036,On Time,
399,A,Road,4,3,152,3,low,male,58.0%,1453,On Time,
400,B,Road,3,1,220,2,high,female,40.0%,3773,On Time,
401,C,Road,4,3,134,3,low,male,51.0%,1965,On Time,
402,F,Road,3,2,217,2,high,male,19.0%,2992,On Time,
403,D,Road,3,2,265,3,low,female,49.0%,2791,On Time,
404,F,Road,4,2,249,5,medium,male,36.0%,3836,On Time,
405,A,Road,5,3,213,4,medium,female,50.0%,2003,On Time,
406,B,Road,2,2,124,3,low,female,56.0%,1494,On Time,
407,C,Flight,4,1,180,2,low,male,23.0%,1193,On Time,
408,F,Flight,4,5,193,3,medium,male,65.0%,2267,On Time,
409,D,Flight,3,2,192,3,medium,male,43.0%,3339,On Time,
410,F,Flight,2,5,166,3,medium,male,3.0%,1832,On Time,
411,A,Flight,3,2,264,3,medium,male,5.0%,3861,On Time,
412,B,Flight,3,4,200,2,medium,male,14.0%,3528,On Time,
413,C,Flight,4,3,142,4,medium,male,12.0%,1396,On Time,
414,F,Flight,4,1,215,2,low,male,32.0%,3066,On Time,
415,D,Flight,2,1,218,2,low,male,15.0%,2745,On Time,
416,F,Flight,3,2,115,3,low,female,27.0%,1814,On Time,
